,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-442.8,0.14839,4.40818,4.40246,-450.794,-442.45,-436.192,898.654,1426.74,622.337,1.00472
alpha_0,73.8974,0.0455483,1.88337,1.72508,70.8166,73.8769,76.908,1848.51,2012.83,1280.13,1.00161
tau_alpha,4.02746,0.0523552,1.90048,1.6471,1.47471,3.75724,7.42019,1221.25,1009.31,845.739,1.0012
z_alpha[1],-0.0605307,0.0115951,0.652229,0.619844,-1.1217,-0.0590285,1.03352,3234.65,2694.62,2240.06,1.00206
z_alpha[2],-0.808246,0.0122824,0.673446,0.656546,-1.9545,-0.793407,0.231179,3118.99,2399.68,2159.96,1.00212
z_alpha[3],0.202724,0.0121772,0.633358,0.611378,-0.788068,0.190996,1.24787,2704.29,2618.07,1872.78,1.00127
z_alpha[4],0.76202,0.0121357,0.68211,0.659083,-0.329653,0.750938,1.86909,3184.02,2805.08,2205.0,1.00141
z_alpha[5],-0.791085,0.0113099,0.651306,0.615505,-1.90138,-0.775197,0.213746,3347.2,2802.69,2318.01,1.0019
z_alpha[6],-0.518673,0.0120332,0.667724,0.64926,-1.62894,-0.518121,0.549711,3116.79,2469.99,2158.44,1.00252
z_alpha[7],1.19444,0.0126367,0.690337,0.675342,0.1148,1.17109,2.34309,2983.94,2507.2,2066.44,1.00096
z_alpha[8],-0.169056,0.0104446,0.618475,0.579514,-1.17242,-0.167627,0.847877,3516.6,3128.82,2435.32,1.00046
beta_0,6.68409,0.0283027,1.73606,1.70011,3.88306,6.70077,9.5195,3806.48,2563.26,2636.07,1.00207
tau_beta,2.28152,0.0404621,1.68677,1.67224,0.160844,1.99112,5.43117,1550.75,1709.02,1073.93,1.00416
z_beta[1],0.434068,0.015787,0.95164,0.924411,-1.19314,0.458478,1.98022,3803.0,2227.77,2633.65,1.00232
z_beta[2],-0.406299,0.0138893,0.918112,0.878438,-1.8739,-0.423718,1.16165,4416.92,3010.0,3058.81,1.00028
z_beta[3],-0.584704,0.0146906,0.900619,0.870823,-2.01051,-0.594474,0.949416,3688.75,3060.38,2554.54,1.00026
z_beta[4],0.416055,0.0149331,0.906042,0.883283,-1.10642,0.446136,1.87114,3750.67,3037.18,2597.42,1.00084
z_beta[5],0.121414,0.0136183,0.898759,0.880542,-1.31938,0.116963,1.61426,4409.89,2832.5,3053.94,1.00096
z_beta[6],-0.0538844,0.0133927,0.909339,0.8968,-1.55275,-0.0435727,1.44034,4793.15,2955.0,3319.36,1.00011
z_beta[7],0.0582854,0.0143681,0.910584,0.907204,-1.40706,0.0677245,1.54998,4062.53,3188.82,2813.38,1.00028
